,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
105,Ugyu-VDGTNrrwtz-mNR4AaABAg,Time Rodney come join US catch cook,1 month ago,@HaiFishing,UCgGMMwQ90Nlx7gklocNznFg,0,https://yt3.ggpht.com/_Evqzwl4dCdwq4uDEzsZ3XGTuYEb_u11_4Js8DllmYTnaA5LK3v190izrjC_LLUNY8XTu-Ym=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.443176
106,Ugxw_wl_vnoVkcTPSu54AaABAg.9rlXXpciSQ39rll5xrO34s,they re usually find mudflat sub tropical tropical area mangrove thrive I d assume you d somewhere state or something similar one critter do not get Tasmania,1 month ago,@robroaring7175,UC1ySaQ7VOXOskQjnzT0xM_w,1,https://yt3.ggpht.com/cFR_WQ1y3FK84XIv7DCV1pYVgb47gRHo3Jmg714T0gXIFwzHGB5VITLFaLTIHHtL7AwM_Jd1nSA=s176-c-k-c0x00ffffff-no-rj,False,True,1689633639.617718
107,UgzYFNc1OzZoB01fib94AaABAg,love much good collab,1 month ago,@tr33tr33tr33,UCWPxeJoij788BixWCGr-PqA,0,https://yt3.ggpht.com/ytc/AOPolaSVMAGlIvXxiNyINL5aZ-FMwwT_3ppQoKmvPZiw=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.944581
108,Ugy2iaMGnfAZg7-Ts8x4AaABAg,you taku Rokikitt taku perfect combo,1 month ago,@albertlazo4901,UC6lK8jZKues8MBvVc5ma3xA,0,https://yt3.ggpht.com/XDYhEjuv62AELMWvGRltSLZRP3iu6AaZ7EpUoNQYeq1idcxsSPO8TU4p92ZG35tXmx0ACU8eGO0=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.946584
109,UgxF1AvljmdqTvhwI3l4AaABAg,well do excellent experience,1 month ago,@6bthedevil,UCvLWpYARpVay026-pFWFLbA,1,https://yt3.ggpht.com/ytc/AOPolaRZ_oCvG4sCxst7boMOMKz13ftxwlN_p2cnGizEHA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.948582
110,UgwURnVnsMLlhdsc5Op4AaABAg,Awesome wait since rod vid I m pump see favourite crab,1 month ago,@headswillroll89,UC0bkFhCxvw5gnUBAnHxxhrg,0,https://yt3.ggpht.com/ytc/AOPolaTec48vc6fLopFO2TLbnrn7JTyDC5XUkIQ-P-pI_uFRqu5yGEzP9lXKrqEHProK=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.949582
111,UgwFTdL-OuuOtUFOO5F4AaABAg,sit Whitsundays wish I beach guy,1 month ago,@stevev5510,UCRjZWzdvnr3RGOytPln_LgQ,0,https://yt3.ggpht.com/ytc/AOPolaRe9nvhqBwsOv7B8cTtGhdb17kncaKtY8uzvA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.952047
112,UgzdwDwYYMKHoa0tVsh4AaABAg,brilliant guy glad great day,1 month ago,@maxmarbeya,UCBGd46Es7u99tBmI83jCDkA,0,https://yt3.ggpht.com/ltORzPL2GNXuqjERb5WUfYzcgAkAZFYGXaFkKzq_nRT718uodrictCoUtKr8LmBLWkAbVOJM4A=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.954038
113,UgyqhtfDKKxdsKen30x4AaABAg,dynamic duo straight fire,1 month ago,@bdub2622,UCmGx_aKjJIS-y2IlRPfKE_g,2,https://yt3.ggpht.com/ytc/AOPolaT7pN0rxoZln8zB89pHfKPRgPAqr2UMhYvRnuQRXA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.955986
114,UgwuFEWk0HIoyhFYezl4AaABAg,Ozi ozi ozi crab crab crab glad enjoy what wrap muddie good onya Rod,1 month ago,@noelvelasquez8679,UCG1ueiVwDb3BVeAjdTVz_aw,0,https://yt3.ggpht.com/ytc/AOPolaQ7W4nf2HBSGXGr41Dlckg42VMKuemHz4AxlHaamA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.959054
115,UgwbO0G5qDCjcBpme7d4AaABAg,100 broke raman eat uncooked it amazing child hood snack also I m jealous meal,1 month ago,@stefbomb2975,UCvyI86QWTdfoPgZgKbn8uPA,0,https://yt3.ggpht.com/ytc/AOPolaS4BEZDhnGrDY5laMYaGSUGsGrBWQw3XGhDIw=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.962028
